EmployeeId,CommuteDistance,DegreeCompleted,DegreeField,Department,EmploymentEndDate,EmploymentEndReason,EmploymentStartDate,Gender,JobLevel,MaritalStatus,NumPreviousCompanies,NumYearsWorked,OvertimeDays,OvertimeHours,Salary,TrainingsAttended,TravelFrequency,WeeklyHoursBudgeted,YearOfBirth
1001,10,Master,Business,Accounting,,,2014-12-12,Female,4,Married,2.0,13,1,2,96800,0,,40,1980
1002,7,Master,Other,Other,,,2017-10-10,Female,2,Single,2.0,12,1,5,60400,1,Monthly,40,1986
1003,9,Bachelor,Business,Other,2019-03-08,Retired,2014-07-23,Male,2,Married,,5,4,15,49100,2,No travel,40,1992
1004,8,Master,Other,Marketing,,,2014-05-08,Male,2,Single,1.0,15,1,3,47100,0,No travel,40,1979
1005,7,Master,Computer Science,Marketing,,,2013-12-24,Male,4,Single,2.0,16,4,12,58700,1,Monthly,40,1979
1006,9,Bachelor,Marketing,Other,,,2015-03-17,Male,2,Married,5.0,28,3,8,96900,1,Monthly,40,1969
1007,8,Bachelor,Business,Other,,,2011-11-25,Female,2,Single,1.0,21,5,22,78800,1,,40,1974
1008,14,Bachelor,Business,Sales,2019-06-21,Fired,2013-10-03,Female,2,Married,2.0,24,1,3,49200,1,,40,1973
1009,15,Master,Business,Other,2019-03-15,Retired,2019-01-10,Female,3,Married,,1,1,4,48000,1,Weekly,40,1994
1010,7,Master,Business,Other,2019-10-02,Went to another company,2015-06-18,Male,1,Married,1.0,10,8,13,51700,4,Weekly,40,1988
1011,15,Bachelor,Marketing,Marketing,,,2015-08-16,Male,1,Married,1.0,8,1,5,34800,0,,40,1990
1012,20,Master,Other,Sales,2019-06-18,Went to another company,2014-11-26,Male,3,Single,3.0,31,2,6,66600,1,No travel,40,1965
1013,9,Associate,Finance,Other,,,2013-12-07,Female,3,Married,2.0,20,3,12,84100,2,Monthly,40,1976
1014,11,Bachelor,Business,Other,,,2017-07-28,Female,3,Married,2.0,18,10,15,79300,2,,40,1980
1015,3,Below College,,Marketing,,,2018-11-08,Male,1,Divorced,2.0,14,8,16,41600,1,No travel,40,1980
1016,3,Bachelor,Business,Marketing,,,2016-08-08,Male,2,Single,4.0,19,3,11,53000,2,,40,1979
1017,10,Bachelor,Finance,Other,2019-10-24,Fired,2019-08-26,Female,1,Single,0.0,1,1,5,39700,1,,40,1995
1018,3,Master,Technical Degree,Other,2019-03-06,Retired,1991-09-26,Female,4,Single,,30,1,5,124400,3,Monthly,40,1967
1019,10,Master,Other,Other,2019-10-01,Retired,2019-06-29,Male,3,Married,,3,10,19,50900,3,monthly,40,1991
1020,10,Master,Marketing,Other,,,2015-01-16,Male,1,Married,2.0,15,3,4,60000,1,,40,1981
1021,15,Master,Business,Marketing,2019-07-26,Fired,2019-06-11,Male,3,Married,2.0,8,1,3,42200,2,No travel,40,1989
1022,15,Bachelor,Other,Other,2019-02-12,Retired,2002-02-08,Female,4,Married,,20,5,6,92600,2,Monthly,40,1973
1023,13,Master,Marketing,Accounting,,,2017-12-21,Female,2,Single,3.0,19,2,8,95500,1,,40,1974
1024,9,Master,Business,Other,,,2012-03-09,Male,3,Married,1.0,18,2,3,79300,1,Less than Monthly,40,1980
1025,13,Master,Other,Other,,,2016-02-04,Female,2,Single,1.0,8,1,3,53600,1,Monthly,40,1990
1026,11,Associate,Finance,Accounting,,,2010-08-31,Female,2,Married,0.0,10,4,16,73200,1,Weekly,40,1984
1027,6,Bachelor,Computer Science,Other,2019-07-02,Went to another company,2012-01-17,Female,3,Married,3.0,26,5,6,100500,0,,40,1968
1028,9,Master,Business,Human Resources,,,2016-09-25,Male,4,Married,6.0,21,4,7,87200,0,No travel,40,1977
1029,8,Master,Other,Information Technology,2019-02-28,Retired,2018-06-05,Male,1,Married,,5,13,15,51000,3,Monthly,40,1989
1030,7,Master,Other,Accounting,2019-06-24,Fired,2013-05-15,Male,1,Married,2.0,21,1,4,92100,1,Less than monthly,40,1973
1031,3,Master,Finance,Information Technology,,,2017-10-29,Female,3,Married,4.0,13,6,16,78200,3,No travel,40,1983
1032,16,Master,Business,Other,2019-11-01,Went to another company,2019-08-01,Female,4,Single,4.0,19,1,2,89900,2,Monthly,40,1976
1033,10,Bachelor,Other,Sales,2019-04-11,Retired,1991-06-22,Female,2,Single,,27,3,6,53800,1,Monthly,40,1970
1034,13,Bachelor,Finance,Other,,,2018-01-26,Male,1,Married,2.0,17,3,13,63600,2,monthly,40,1981
1035,7,Bachelor,Other,Marketing,2019-11-15,Fired,2014-07-25,Male,3,Married,3.0,26,2,11,71800,2,Weekly,40,1969
1036,11,Master,Other,Other,2019-11-01,Went to another company,2016-04-23,Male,4,Married,2.0,18,13,26,87200,0,Weekly,40,1977
1037,14,Doctor,Other,Marketing,,,2014-01-22,Male,4,,6.0,30,4,6,88800,2,No travel,40,1964
1038,10,Bachelor,Other,Other,,,2018-08-07,Male,1,Single,5.0,25,7,23,80600,1,Monthly,40,1969
1039,6,Master,Other,Other,2019-07-05,Retired,2009-09-01,Male,3,Married,,14,2,5,70500,0,Monthly,40,1979
1040,11,Bachelor,Business,Other,,,2013-12-27,Female,1,Divorced,1.0,10,1,2,51700,2,Monthly,40,1983
1041,6,Master,Finance,Other,,,2012-11-01,Female,5,Married,2.0,22,1,3,108000,1,Weekly,40,1973
1042,7,Master,Finance,Other,,,2018-02-07,Female,3,Married,2.0,14,1,2,70500,3,Less than monthly,40,1980
1043,8,Bachelor,Life Sciences,Marketing,,,2017-06-03,Female,1,Married,2.0,19,1,2,48200,1,Monthly,40,1975
1044,8,Bachelor,Other,Other,2019-02-15,Went to another company,2009-11-17,Female,2,Married,2.0,31,57,64,105900,2,Monthly,40,1967
1045,13,Bachelor,Marketing,Marketing,2019-07-15,Retired,2010-05-29,Male,1,Single,,13,1,2,40400,2,Monthly,40,1984
1046,8,Master,Life Sciences,Other,,,2019-02-21,Female,2,Single,0.0,1,25,27,43600,2,Monthly,40,1993
1047,8,Master,Other,Other,2019-08-09,Fired,2018-04-23,Male,2,Married,6.0,21,4,10,78800,2,,40,1972
1048,9,Below College,,Other,,,2016-10-16,Male,1,Single,2.0,9,2,6,50200,1,monthly,40,1985
1049,16,Doctor,Life Sciences,Marketing,2019-01-17,Went to another company,2016-12-02,Female,2,,2.0,16,4,6,48500,1,No travel,40,1982
1050,8,Bachelor,Business,Marketing,,,2016-01-04,Female,2,Single,2.0,17,1,4,50000,1,Monthly,40,1978
1051,6,Bachelor,Business,Sales,2019-07-26,Retired,2007-07-18,Male,1,Married,,15,1,6,34300,0,No travel,40,1980
1052,5,Master,Finance,Marketing,,,2019-04-01,Female,1,Married,2.0,8,2,6,34800,2,Weekly,40,1988
1053,2,Bachelor,Business,Information Technology,2019-03-07,Retired,2004-02-04,Female,4,Single,,18,2,4,99700,0,Weekly,40,1978
1054,13,Master,Marketing,Accounting,,,2016-08-29,Male,1,Married,1.0,6,2,8,59100,1,No travel,40,1992
1055,8,Associate,Business,Other,,,2015-10-31,Female,1,Married,2.0,10,1,4,51700,1,No travel,40,1985
1056,2,Bachelor,Finance,Other,,,2018-09-28,Female,3,,2.0,14,2,7,70500,0,No travel,40,1984
1057,10,Bachelor,Other,Other,,,2016-01-31,Female,1,Single,4.0,15,1,2,60000,2,monthly,40,1979
1058,10,Bachelor,Business,Other,,,2014-09-18,Female,2,Married,3.0,28,12,13,96900,1,Weekly,40,1968
1059,13,Master,Life Sciences,Other,2019-05-20,Went to another company,2011-04-13,Female,1,Single,2.0,21,8,19,71600,1,No travel,40,1975
1060,9,Bachelor,Life Sciences,Human Resources,,,2012-02-24,Male,1,Single,1.0,13,2,3,51700,1,No travel,40,1981
1061,9,Master,Other,Information Technology,2019-08-01,Went to another company,2013-10-26,Female,5,Married,3.0,35,5,11,181300,0,Less than monthly,40,1963
1062,8,Master,Other,Other,2019-08-14,Went to another company,2019-05-15,Male,2,Single,5.0,22,1,3,81100,0,Less than Monthly,40,1974
1063,14,Master,Finance,Human Resources,2019-01-10,Went to another company,2017-09-27,Female,3,Married,0.0,3,1,5,46500,1,weekly,40,1995
1064,12,Bachelor,Business,Other,,,2012-12-11,Male,2,Married,2.0,29,4,13,99800,1,,40,1969
1065,13,Master,Marketing,Marketing,2019-09-26,Went to another company,2019-08-03,Female,3,Single,1.0,4,2,11,37500,0,Weekly,40,1994
1066,20,Bachelor,Finance,Other,,,2010-03-21,Female,1,Single,0.0,10,16,20,51700,2,monthly,40,1983
1067,10,Master,Other,Other,2019-10-10,Went to another company,2015-12-17,Male,3,Divorced,2.0,18,2,7,79300,1,Weekly,40,1976
1068,5,Bachelor,Finance,Other,,,2018-03-31,Female,1,Single,0.0,2,1,3,40800,1,Monthly,40,1995
1069,9,Master,Life Sciences,Marketing,,,2019-06-07,Female,2,Married,1.0,9,2,6,39500,1,Monthly,40,1988
1070,12,Associate,Business,Accounting,,,2017-06-04,Female,2,Married,4.0,29,1,6,128300,1,Monthly,40,1968
1071,11,Bachelor,Other,Other,,,2017-10-09,Male,2,Single,1.0,10,3,8,56900,2,No travel,40,1985
1072,16,Master,Finance,Other,2019-07-05,Went to another company,2019-06-06,Male,3,Married,2.0,13,1,6,68400,1,Monthly,40,1984
1073,13,Bachelor,Life Sciences,Accounting,,,2016-11-23,Male,2,Married,2.0,16,1,3,87400,1,Monthly,40,1981
1074,13,Bachelor,Life Sciences,Accounting,,,2018-04-26,Male,1,Divorced,0.0,2,1,2,52500,4,Less than Monthly,40,1993
1075,12,Master,Finance,Marketing,2019-12-27,Went to another company,2015-03-03,Male,3,Married,0.0,5,6,10,38600,1,monthly,40,1990
1076,5,Master,Finance,Information Technology,,,2016-02-18,Female,1,Married,2.0,10,1,7,59100,1,monthly,40,1988
1077,6,Master,Other,Other,,,2018-07-05,Female,2,Married,1.0,2,5,8,44900,4,No travel,40,1991
1078,14,Bachelor,Marketing,Human Resources,2019-06-21,Fired,2019-05-27,Male,1,Single,3.0,15,1,2,54800,4,No travel,40,1981
1079,14,Master,Other,Sales,,,2009-10-31,Male,3,Married,2.0,30,8,10,64600,1,,40,1968
1080,5,Bachelor,Business,Accounting,2019-10-17,Went to another company,2017-09-20,Male,2,Married,3.0,21,6,24,101300,1,Weekly,40,1976
1081,8,Master,Business,Other,,,2019-04-15,Male,1,Single,1.0,7,0,0,47400,1,,40,1990
1082,12,Bachelor,Marketing,Accounting,,,2009-12-17,Male,4,Married,2.0,28,5,9,150700,1,Monthly,40,1969
1083,12,Master,Other,Sales,,,2019-09-03,Male,3,Single,5.0,18,1,5,45300,0,No travel,40,1975
1084,6,Master,Marketing,Accounting,,,2017-07-09,Male,3,Single,0.0,3,2,8,65400,0,,40,1992
1085,12,Master,Finance,Sales,2019-11-22,Went to another company,2017-12-22,Female,3,Single,1.0,13,3,12,39100,2,Monthly,40,1985
1086,8,Bachelor,Marketing,Accounting,2019-04-03,Retired,2006-06-14,Female,1,Single,,14,2,8,74900,2,Monthly,40,1980
1087,7,Master,Marketing,Accounting,,,2015-05-05,Male,4,Single,2.0,21,2,10,122600,1,Monthly,40,1976
1088,9,Master,Other,Other,,,2015-07-29,Female,4,Single,7.0,41,5,8,172200,0,monthly,40,1956
1089,9,Master,Computer Science,Marketing,,,2016-06-02,Female,3,Married,3.0,12,4,9,47400,3,Weekly,40,1983
1090,14,Bachelor,Technical Degree,Other,,,2018-07-22,Female,3,Single,1.0,5,0,0,54000,3,Weekly,40,1993
1091,5,Bachelor,Computer Science,Information Technology,,,2008-10-16,Male,5,Married,1.0,22,19,29,123400,2,,40,1975
1092,17,Bachelor,Other,Other,2019-07-16,Retired,2016-11-21,Male,3,Divorced,,7,2,10,57300,2,Monthly,40,1989
1093,11,Bachelor,Other,Other,2019-10-08,Went to another company,2015-06-06,Male,4,Married,5.0,25,2,4,107300,2,monthly,40,1969
1094,11,Master,Finance,Other,,,2011-10-04,Male,5,Married,2.0,35,3,11,158600,2,No travel,40,1958
1095,13,Associate,Computer Science,Other,,,2016-06-20,Female,2,Married,7.0,30,1,3,102800,2,No travel,40,1966
1096,7,Master,Marketing,Marketing,2019-08-15,Went to another company,2011-04-28,Female,3,Single,1.0,20,7,16,60100,1,Less than Monthly,40,1973
1097,1,Master,Finance,Sales,2019-06-24,Fired,2019-06-09,Female,2,Single,4.0,17,2,11,40000,4,,40,1979
1098,9,Master,Business,Other,,,2014-11-06,Female,2,Married,1.0,12,5,13,60400,2,,40,1986
1099,9,Master,Finance,Marketing,2019-03-28,Fired,2017-11-07,Female,3,Single,5.0,22,2,7,63800,4,Weekly,40,1971
1100,7,Master,Marketing,Marketing,,,2019-01-14,Female,1,Divorced,0.0,1,4,8,28300,2,,40,1995
1101,7,Bachelor,Business,Marketing,,,2017-08-13,Male,1,Single,1.0,12,5,6,39200,1,,40,1986
1102,7,Bachelor,Other,Accounting,,,2016-11-15,Female,1,Married,0.0,4,4,13,55700,0,No travel,40,1990
1103,21,Bachelor,Marketing,Information Technology,,,2019-02-13,Male,1,Single,2.0,6,1,6,52500,1,,40,1987
1104,7,Master,Life Sciences,Other,2019-11-18,Went to another company,2019-06-26,Female,2,Married,4.0,24,1,4,86100,2,Monthly,40,1969
